"","x"
"172","@DonLemon @CNN @CNNBRK,

Any comments on this?

#himtoo?

@SuffolkCounty filing:
https://t.co/Zv58CNvEXE

@bigleaguepol's article on civil suit against Don Lemon
https://t.co/ivmvihD1Sq

@DRUDGE_REPORT
@FoxNewsOpinion"
"173","@Ravagiing Haley Adams held the rally in downtown Portland, co-hosted by Patriot Prayer leader Joey Gibson, and Quincy Anatello, a member of the Christian group in Uniting the event’s messaging under the hashtag #HimToo, Adams and Patriot &amp; expressing false rape allegations against men 2017"
"174","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"175","@Ravagiing Haley Adams held the rally in downtown Portland, co-hosted by Patriot Prayer leader Joey Gibson, and Quincy Anatello, a member of the Christian group in Uniting the event’s messaging under the hashtag #HimToo, Adams and Patriot &amp; expressing false rape allegations against men 2017"
"176","@TMZ @PopCrush #HimToo"
"177","Our society needs to stop blaming #AbuseSurvivors. The responsibility is always the predator, regardless of gender. 
Victims aren’t to blame for: 

💔Child abuse 

💔 Child pornography 

💔 Mental abuse 

💔 Rape 

💔 Domestic abuse 

💔 Sex Trafficking 
#MeToo #HimToo #CSA #PTSD"
"178","@CoryBooker Thanks for the update, ""Spartacus.""

How about an update on that dude you sexually assaulted? #HimToo #MeToo #BelieveSurvivors

https://t.co/XxcFfnH20A"
"179","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"180","Lets go boys its our turn #himtoo #mentoo https://t.co/UPYMoziyAu"
"181","How to Survive a False Accusation #phenoMENalAct #HimToo 

https://t.co/L8mf12w9wN"
"182","@RealSaavedra @SebGorka I believe him #himtoo"
"183","Our society needs to stop blaming #AbuseSurvivors. The responsibility is always the predator, regardless of gender. 
Victims aren’t to blame for: 

💔Child abuse 

💔 Child pornography 

💔 Mental abuse 

💔 Rape 

💔 Domestic abuse 

💔 Sex Trafficking 
#MeToo #HimToo #CSA #PTSD"
"184","@NicoleEggert Shame on you for jumping on this fake bandwagon! You make true survivors afraid to speak up! Sad that yet another washed up actress such as yourself and Milano have nothing to do but stir shit up on social media. Wife swap show seemed to be your last attempt at fame #himtoo"
"185","@ScottBaio Alot of us have common sense!! And we don't believe a single word out of her mouth! So sick of this metoo bullshit! How about #himtoo?"
"186","@RealSaavedra #himtoo"
"187","@ArthurSchwartz #HimToo"
"188","@CB618444 @texasrighty @donlemon #HimToo"
"189","@MoooPapa @ValerieBaxter76 @mayalates @catahoulasrule @DatoFreddy @LeeLore2 @realDonaldTrump @davisallen46 @pennysmagic1 @jackie70111 @dyro874 @Alpha6Phinsider @ChoppersLounge @Caparosa52 @cjdtwit @carrolka @socalpony2 @cindy_nurse Good morning #Himtoo"
"190","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"191","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"192","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"193","@nypost Feminists like Lena Dunham are the ultimate hypocrites. They make unsolicited and unwanted advances on men like Brad Pitt and Odell Beckham Jr. but want to be the spokespersons for sexual harassment. #HimToo #BradPitt https://t.co/MnoLCMi0Se"
